STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,mot_nrg,Motor energy,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,DE,Germany,2017,,15225296,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,DE,Germany,2018,,15153364,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,DE,Germany,2019,,15111382,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,DE,Germany,2020,,15060124,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,DE,Germany,2021,,14824262,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,DE,Germany,2022,,14437489,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,DE,Germany,2023,,14142184,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,DE,Germany,2024,,13829261,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2015,,12644560,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2016,,12880656,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2017,,14393041,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2018,,14572400,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2019,,14606861,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2020,,14555080,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2021,,14441476,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2022,,14328026,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2023,,14175393,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,ES,Spain,2024,,13952057,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2015,,23718626,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2016,,23840395,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2017,,23752657,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2018,,23199412,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2019,,22611758,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2020,,22025189,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2021,,21417978,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2022,,20666465,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2023,,19941790,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,FR,France,2024,,19201010,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2015,,15666309,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2016,,16260625,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2017,,16896736,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2018,,17316888,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2019,,17467776,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2020,,17385843,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2021,,17093277,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2022,,16928077,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2023,,16777000,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,IT,Italy,2024,,16437562,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2015,,1323320,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2016,,1314225,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2017,,1306960,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2018,,1259923,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2019,,1177559,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2020,,1065483,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2021,,970764,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2022,,860021,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2023,,757422,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,NL,Netherlands,2024,,664475,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,UK,United Kingdom,2015,,11428851,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,UK,United Kingdom,2016,,12052142,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,UK,United Kingdom,2017,,12360237,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,UK,United Kingdom,2018,,12397636,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,UK,United Kingdom,2021,,11574136,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,UK,United Kingdom,2022,,11180520,,,,,
dataflow,ESTAT:ROAD_EQS_CARPDA(1.0),"Passenger cars, by type of motor energy",A,Annual,NR,Number,DIE_X_HYB,Diesel (excluding hybrids)  ,UK,United Kingdom,2023,,10666727,,,,,
