FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,"'Stato dell""'osservazione'",NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione,Regione
011015,La Spezia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.1,,,,,,,,,,,,,,,,,
011015,La Spezia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.3,,,,,,,,,,,,,,,,,
011015,La Spezia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.4,,,,,,,,,,,,,,,,,
011015,La Spezia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.5,,,,,,,,,,,,,,,,,
011015,La Spezia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,3.2,,,,,,,,,,,,,,,,,
011015,La Spezia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,4,,,,,,,,,,,,,,,,,
011015,La Spezia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,5.8,,,,,,,,,,,,,,,,,
012133,Varese,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.2,,,,,,,,,,,,,,,,,
012133,Varese,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.2,,,,,,,,,,,,,,,,,
012133,Varese,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.3,,,,,,,,,,,,,,,,,
012133,Varese,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.6,,,,,,,,,,,,,,,,,
012133,Varese,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.8,,,,,,,,,,,,,,,,,
012133,Varese,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,2.4,,,,,,,,,,,,,,,,,
012133,Varese,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,5.5,,,,,,,,,,,,,,,,,
